idx,person,sex,phone,pitch_praat,f1_org_praat,f2_org_praat,f3_org_praat
0,MESG0,M,iy,105.09436001038932,429.2202222222223,1935.105,2770.958444444445
1,MRJB1,M,iy,137.16815837512652,503.9656153846154,1856.6889230769227,2718.4200769230765
2,MTDT0,M,iy,116.85647818773089,473.0448,2088.8662,2609.2438666666667
3,MJJJ0,M,iy,106.35586493723407,391.4461,2031.4569,2855.2534
4,MDLS0,M,iy,126.9816605699572,366.1775714285714,2066.4021428571427,2834.4745714285714
5,MRVG0,M,iy,126.9141869927112,426.4593846153845,1843.895,2688.6430000000005
6,MTKD0,M,iy,123.94290501337144,500.3595,1768.386,2336.7525
7,MGJF0,M,iy,117.96023570747263,410.8205714285714,2102.47,2522.4822857142863
8,MTAS0,M,iy,134.6645603417143,370.7285,1943.47975,2295.42325
9,MPRK0,M,iy,143.72273432623345,355.1217142857143,2030.3562857142856,2952.0890000000004
10,MSLB0,M,iy,127.07749602113176,500.5103333333333,2111.350222222222,2588.4617777777776
11,MMGK0,M,iy,109.54923561355449,376.067375,2016.991125,2831.071125
12,MTJM0,M,iy,113.15901253641296,531.01225,1655.2225,2155.8085
13,MTJS0,M,iy,142.01112991918615,321.5936,2141.7262,2773.4382
14,MDLS0,M,iy,140.25466554852397,419.177,1999.7266666666665,2759.764333333333
15,MGSL0,M,iy,89.65176047766417,422.752625,2272.783125,2794.1665000000003
16,MTPG0,M,iy,113.34997978284343,509.12014285714287,1763.6421428571427,2666.327571428571
17,MESG0,M,iy,99.24151567828898,388.99375,2055.174625,2609.567375
18,MTAT1,M,iy,132.57593523825406,477.6505,2076.1375000000003,2805.914833333333
19,MRFK0,M,iy,104.6125538350163,396.3719411764705,2111.8566470588235,2710.1251176470582
20,MDEM0,M,iy,139.1369794569226,477.3914000000001,2157.349733333333,2681.686733333333
21,MRJR0,M,iy,139.45615404758448,376.8079166666667,2123.750583333333,2822.649416666666
22,MCTH0,M,iy,106.54999825803364,474.3601428571428,2255.6466428571425,2777.0617857142856
23,MLJB0,M,iy,109.41822853402218,1071.069625,2191.3695,3003.66325
24,MBGT0,M,iy,138.9554090287426,348.04299999999995,2040.464875,2854.05675
25,MJSW0,M,iy,132.83662481317373,320.7554285714286,1828.171,2426.1424285714284
26,MJEB1,M,iy,111.29875250939658,506.289875,2199.02825,2818.077125
27,MSMR0,M,iy,161.7379638303946,395.3137777777778,2014.1147777777776,2793.142888888889
28,MNJM0,M,iy,117.004570038308,603.1044615384615,1798.6056923076924,2440.984
29,MKES0,M,iy,141.5647261401814,709.663,2314.6750999999995,2888.2806
30,MRBC0,M,iy,123.56342680560569,451.7772941176471,2164.3524705882355,2748.7151764705886
31,MCXM0,M,iy,96.28249940974464,457.6941000000001,1887.8242,2787.5073999999995
32,MVRW0,M,iy,127.39123805762934,371.0571428571428,2087.83,2746.157285714285
33,MSDS0,M,iy,159.1996174875868,397.8094615384615,2186.920769230769,2734.903769230769
34,MTAS0,M,iy,115.90001773421288,483.4746666666667,1671.520166666667,2386.6505
35,MPRB0,M,iy,107.1975910629135,377.2587142857143,2356.278142857143,2980.2057142857143
36,MJTC0,M,iy,95.68746355823492,407.2336,2193.0127,2800.5985
37,MJRP0,M,iy,153.4652942266821,511.92625,1882.8285,2322.46775
38,MTMR0,M,iy,107.08750642083056,1175.3372857142856,2236.596571428571,3059.4552857142858
39,MBEF0,M,iy,115.89586420183768,372.6794444444444,1763.2023333333332,2196.761333333334
40,MTAB0,M,iy,99.51854158413788,429.2071,1847.5466,2519.4381000000003
41,MDLC1,M,iy,133.4235326012501,569.953,1994.712375,2771.281125
42,MJTH0,M,iy,99.91060686484587,522.1766363636364,1947.5699090909093,2673.798636363636
