idx,sex,phone,pitch_praat,f1_org_praat,f2_org_praat,f3_org_praat
0,M,iy,123.20833228522866,596.4911111111111,1978.0762222222224,2727.5432222222225
1,M,iy,145.48698912266264,476.8511,1862.7986,2635.8334
2,M,iy,105.9896834351684,516.2873333333333,1841.722,2472.9606666666664
3,M,iy,87.07104641055597,1079.5321428571428,2279.361142857143,3008.002285714286
4,M,iy,116.58356502028415,1542.6721428571425,2381.352,3244.661714285714
5,M,iy,149.64947659314103,287.8535,1941.4984,2752.4021999999995
6,M,iy,124.32658216489432,457.2956666666667,2101.416333333333,2849.9933333333333
7,M,iy,153.70850800291777,443.5303636363636,1867.746363636364,2483.862181818182
8,M,iy,115.02754845296296,396.60660000000007,2387.796933333333,2823.770733333333
9,M,iy,114.94592126611676,496.978125,2027.3865,2632.600625
10,M,iy,135.60016397982437,425.6854,1999.108,2739.415
11,M,iy,145.27433406143274,932.2884444444444,1955.9243333333332,2976.733666666667
12,M,iy,98.23785963430883,431.81433333333337,1811.7404444444448,2599.1686666666665
13,M,iy,115.89586420183768,412.7166,1799.7818,3331.9364
14,M,iy,111.57413103852052,443.2716666666666,1674.114666666667,2557.971
15,M,iy,103.24610031001464,460.9856,1541.6986,2440.9936
16,M,iy,128.49208847979364,514.7881666666667,1819.4568333333332,2556.7138333333337
17,M,iy,91.94139706123796,767.0707142857143,2133.302142857143,2812.0008571428566
18,M,iy,134.4306048025485,563.358090909091,1993.3426363636363,2439.2521818181817
19,M,iy,102.73497336156385,531.554,2045.495,2669.5356666666667
20,M,iy,96.99220139089702,483.395625,2177.4791250000003,2575.7915
21,M,iy,146.81789537781066,549.022,2168.5978000000005,2639.861
22,M,iy,119.5926974106228,469.7335,1927.7223333333327,2590.8536666666664
23,M,iy,167.43535718264638,416.0156,2205.9042,2726.1916
24,M,iy,107.34619162043283,519.2158888888888,2212.452111111111,2840.2716666666665
25,M,iy,128.5742643321116,427.6533,2323.108,2757.9624
26,M,iy,108.40298869368443,398.3842,1869.6008,2498.3431
27,M,iy,130.68276090925053,447.0602,2370.2684,2938.2072000000003
28,M,iy,129.95691730966055,488.0909411764705,2093.2250588235297,2780.4287647058827
29,M,iy,123.3080659777614,516.7733000000001,2079.0772,2557.4114999999997
30,M,iy,164.3722676421715,607.8188888888889,1871.0764444444449,2715.0728888888893
31,M,iy,119.57037926867136,508.43941666666666,2212.791333333333,2808.7785
32,M,iy,129.35049866537838,685.3292222222221,1820.194555555556,2615.112
33,M,iy,122.91990894859045,407.7314,2019.8821,2566.4425
34,M,iy,122.93430319843591,497.6665555555557,1815.277,2404.395333333333
35,M,iy,90.4902578218955,380.033,2172.422,2885.4210000000003
36,M,iy,102.77092091827362,499.40616666666665,1817.6356666666668,2457.8598333333334
37,M,iy,120.46930904908344,315.0013333333333,2033.7736666666667,2707.0655
38,M,iy,113.8158167335328,487.40975,1943.3895,2494.4875
39,M,iy,117.59646952587414,439.264,2433.357,2978.5035000000003
40,M,iy,102.38468576513816,370.6144444444444,2015.425444444444,2690.2648888888884
41,M,iy,130.916695353409,530.7124285714286,1961.4444285714287,2456.505857142857
42,M,iy,126.45136705966372,368.1578,2235.146933333334,2735.511266666668
43,M,iy,126.19279557992948,494.642125,1844.255375,2670.83975
44,M,iy,134.4948841940966,426.1648823529411,2257.809411764706,3154.725823529412
45,M,iy,118.41472892298714,255.41614285714283,2111.653428571429,2869.739142857143
46,M,iy,127.38470160672126,498.1962222222223,2064.4743333333336,2463.7168888888887
47,M,iy,112.90112781185444,426.60466666666673,2177.867555555556,2879.9864444444447
48,M,iy,103.8678763366166,344.8168,1980.6268,2646.7074
49,M,iy,117.6549357630919,404.1977647058824,2139.580823529412,2725.893529411765
50,M,iy,96.59297653946577,441.30478571428574,1766.405357142857,2565.884785714285
51,M,iy,139.52698436107912,429.5273333333333,1920.3437777777776,2409.561
52,M,iy,122.39416063312584,479.9470909090909,1813.743,2190.0138181818184
53,M,iy,107.58886674851264,395.9548333333333,2397.1229166666667,2900.9139166666664
54,M,iy,122.15348846715492,416.89158333333336,1826.1636666666664,2471.1963333333338
55,M,iy,97.45958912454874,456.2132999999999,1906.7039,2309.2881
56,M,iy,119.61898031052208,465.53716666666674,1874.0925,2214.0281666666665
57,M,iy,101.99635160170904,407.5274545454546,2045.8787272727277,2586.508909090909
58,M,iy,124.97222519686798,441.7225,1969.4625,2559.2755
59,M,iy,175.0995970670819,633.725125,2023.294125,2976.875375
60,M,iy,123.35616053264116,433.8822142857143,1983.9189285714288,2773.075214285714
61,M,iy,176.1389654321018,377.18000000000006,1825.4083636363632,2256.623181818182
62,M,iy,123.71902504838587,364.2453076923077,2421.184538461538,2917.0921538461544
63,M,iy,147.09094395655137,723.1671428571428,1911.686857142857,2780.0287142857137
64,M,iy,118.98314453739027,509.3272222222222,2094.7852222222223,2660.343
65,M,iy,129.07327370667488,422.654875,1895.538875,2671.716625
66,M,iy,126.11664557419957,595.5576666666667,2194.860333333333,3188.6494999999995
67,M,iy,144.5176626412622,413.972,1902.871666666667,2653.4833333333336
68,M,iy,122.56034755915589,404.8453750000001,2077.818875,2695.20275
69,M,iy,113.50613867358976,329.53286363636363,2146.9611818181816,2831.859181818182
70,M,iy,121.81826454949729,434.3686666666667,1855.9144444444444,2561.7681111111106
71,M,iy,97.6511019938624,526.2421,2072.6296,2743.8491000000004
72,M,iy,113.8307262440459,477.000375,1876.097125,2529.357625
73,M,iy,105.99887011723936,481.0375,2085.577928571428,2662.786571428572
74,M,iy,97.23336819946994,448.054125,1924.5355,2718.47925
75,M,iy,124.60411842954284,409.3816363636364,2009.0265454545456,2714.6749090909098
76,M,iy,106.23808587437236,462.9775,2127.506375,2754.151875
77,M,iy,137.37879124305422,378.2642,1888.7164,2710.5334000000003
78,M,iy,118.00362544057144,414.5197142857143,1889.452,2751.517428571429
79,M,iy,109.8366809293154,382.4675555555556,2006.6121111111115,2659.2833333333333
80,M,iy,120.87696033704586,376.9783076923076,2119.879769230769,2800.121692307692
81,M,iy,171.42989458648918,369.0724444444445,2380.875444444445,2957.5882222222226
82,M,iy,132.78778060323373,415.296875,1839.623,2528.9255
83,M,iy,112.79292831154687,414.44694117647055,2374.6417058823536,2877.786117647059
84,M,iy,129.8914709794311,517.0426,2145.2436,2593.7272
85,M,iy,130.20498097550578,332.2327,2123.3032,2595.6242
86,M,iy,118.20719643647902,454.3319,2387.6423,2941.7037
87,M,iy,94.97983846634094,490.7169375,1810.7995,2617.5386875
88,M,iy,113.15901253641296,438.59390909090905,1761.1205454545454,2637.5397272727278
89,M,iy,100.75244270702682,835.4855,1932.347125,2932.792375
90,M,iy,112.76116831684226,377.35566666666665,1990.3576666666668,2684.8441666666668
91,M,iy,101.31317733195252,392.92,2228.9027,2723.0950000000003
92,M,iy,117.93861310187576,690.4121000000001,1591.3634,2709.2073
93,M,iy,93.30076886937437,423.7785555555556,1792.1898888888888,2124.794555555556
94,M,iy,120.10799774969446,563.9864,1943.9626,2538.1930999999995
95,M,iy,168.78276719785518,397.7292727272727,1859.2702727272729,2490.6369090909093
96,M,iy,127.2242516983643,429.6608333333333,1880.5145833333331,2634.837583333333
97,M,iy,125.48325248994468,434.398,1886.9568571428567,2399.8902857142857
98,M,iy,141.85562726294333,488.28575,1885.708625,2652.06575
99,M,iy,120.52136136043946,463.0318571428571,1815.5148571428572,2497.9262857142858
100,M,iy,95.45873495256708,482.9025714285716,1670.7445714285714,2341.154142857143
101,M,iy,98.8165417362194,384.4405555555556,2227.1274444444443,2981.2387777777776
102,M,iy,155.99596768521647,480.093625,2124.124,3015.668625
103,M,iy,92.03703454770871,457.88214285714287,1865.0092857142856,2402.2765714285715
104,M,iy,121.03444542593698,325.58646153846155,2164.9322307692314,2738.3655384615386
105,M,iy,108.23397613105192,399.3625,1966.063125,2448.460625
106,M,iy,133.18623645089934,436.2272,2189.7984,2600.5012
107,M,iy,123.56342680560569,485.7120000000001,2002.6804444444444,2278.704777777778
108,M,iy,110.82488723249318,404.4504615384615,2031.7776923076924,2720.884615384615
109,M,iy,147.55791221819882,337.8722,2181.2917,2812.2697
110,M,iy,142.43378030704503,503.729,1805.7731666666668,2310.6698333333334
111,M,iy,113.34970676346944,413.2715,1948.62525,2622.51775
112,M,iy,136.39789559736982,441.440875,1810.8625,2518.338375
113,M,iy,126.46988778505208,415.6574444444444,1620.8994444444447,2513.2961111111117
114,M,iy,134.50022831954652,472.438,1924.9407777777776,2476.929666666667
115,M,iy,153.8492134143023,436.5262857142857,2251.7457142857143,2866.794142857143
116,M,iy,144.11423474334978,464.056125,2097.8610000000003,2642.492875
117,M,iy,105.39346826417078,456.69,1797.6105714285711,2269.7472857142857
118,M,iy,124.0501934943258,411.8674444444445,1884.4316666666664,2354.225555555556
119,M,iy,110.610320480862,499.81871428571424,1961.1535714285712,2433.881714285714
120,M,iy,124.13659711968084,510.8408333333334,2121.3456666666666,2684.2911666666664
121,M,iy,103.69772120286868,443.64366666666666,1905.9121666666667,2523.435333333333
122,M,iy,119.73654709075002,421.79575,1813.7905,2287.5825
123,M,iy,101.12426129812498,497.0090909090909,1773.574272727273,2524.818909090909
124,M,iy,98.99294282916584,2174.546363636364,2730.7958181818185,3368.762272727273
125,M,iy,119.46392554895311,561.9941428571428,1776.6561428571426,2575.312571428572
126,M,iy,99.50025280176648,402.8772857142858,1873.0854285714283,2602.0731428571426
127,M,iy,119.63142408993473,438.9361,2202.7831,2887.4849
128,M,iy,121.36765660803566,433.8135454545454,2135.681090909091,3251.720909090909
129,M,iy,96.04494505926132,429.7438571428571,1895.1112857142853,2733.3764285714283
130,M,iy,101.48757930996466,447.9309000000001,2111.7138,2914.2355
131,M,iy,130.06497242472983,406.3564545454546,1638.4694545454547,2227.204454545455
