slno,idx,audio_filepath,person,sex,start_sample,end_sample,start_sec,end_sec,duration_sec,vowel_type,pitch_org_praat,f1_mean_org_praat,f2_mean_org_praat,f3_mean_org_praat,f4_mean_org_praat,f1_median_org_praat,f2_median_org_praat,f3_median_org_praat,f4_median_org_praat
0,63466,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR6/MAJP0/SA1.WAV,MAJP0,M,20929,21700,1.3080625,1.35625,0.0481875,iy,115.97589114902372,521.7954490559806,1539.2720677993216,2379.5677713040127,3504.9889105927978,521.3514660271524,1589.9223054915133,2448.463207216688,3470.430593875294
1,77016,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR8/MEJS0/SA1.WAV,MEJS0,M,27480,28680,1.7175,1.7925,0.075,iy,105.75072517116894,540.3139475344417,1531.6639363657298,2384.025650150354,3462.560332652474,546.2015849194206,1578.3734263035926,2421.0787314142767,3429.2338482195128
2,34449,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MTBC0/SX273.WAV,MTBC0,M,9107,9960,0.5691875,0.6225,0.0533125,iy,120.63347412450752,489.92157856293073,1543.9189757896595,2368.8231860905403,3256.3721150387137,482.8232137434725,1533.3434207240912,2449.876241336563,3242.355380235524
3,70407,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/MDLR0/SI603.WAV,MDLR0,M,23227,25315,1.4516875,1.5821875,0.1305,iy,111.68291446645506,562.6775388030974,1320.319181607546,2501.931164291504,3460.706569376809,548.1010828508068,1310.749785378218,2476.4012278625646,3442.462451738553
4,75285,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/MTWH1/SX72.WAV,MTWH1,M,10943,12490,0.6839375,0.780625,0.0966875,iy,133.9417076265642,556.371642003508,1622.1778941607206,2203.3573639956658,3479.152705015721,555.3919434818479,1703.8174442659947,2389.401927208735,3506.8519330962245
5,40813,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MJKR0/SI1201.WAV,MJKR0,M,2590,3400,0.161875,0.2125,0.050625,iy,111.57464509528872,563.717039471576,1445.1013635696554,2403.657941182952,3200.941682267339,540.3199132692533,1450.829048402652,2401.9178698013843,3170.109992638073
6,15798,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR6/MDSC0/SA2.WAV,MDSC0,M,19634,20637,1.227125,1.2898125,0.0626875,iy,95.79084479390534,559.5458687625427,1473.5813038325075,2213.988847072845,3329.021874294308,566.8389056966312,1488.105812411459,2278.3711261467142,3265.357890786862
7,64762,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR6/MMDB0/SX177.WAV,MMDB0,M,7185,8271,0.4490625,0.5169375,0.067875,iy,133.56198322520652,486.72261131268135,1542.435558984375,2297.883308515301,3333.0064863703847,478.1974465987136,1498.0110745324623,2352.1178790704066,3404.2920181934646
8,16405,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR6/MRJR0/SA2.WAV,MRJR0,M,26610,28073,1.663125,1.7545625,0.0914375,iy,134.65686288409023,576.5288814089413,1590.048164508623,2642.530385226048,3481.417176769095,554.6179497509218,1607.156212384684,2753.9078816136034,3490.204459884795
9,38472,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MCEF0/SA1.WAV,MCEF0,M,30380,31749,1.89875,1.9843125,0.0855625,iy,124.36093567168292,509.922612537137,1519.7481555437002,2408.714419707135,3582.283367632298,494.4233383793436,1476.0885227527567,2432.5395638703963,3592.1707791585623
