slno,idx,audio_filepath,person,sex,start_sample,end_sample,start_second,end_second,duration_second,vowel_type
0,23297,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR1/MJEB1/SI837.WAV,MJEB1,M,35600,37320,2.225,2.3325,0.1075,iy
1,13257,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR5/MAHH0/SX304.WAV,MAHH0,M,4479,7240,0.2799375,0.4525,0.1725625,iy
2,9265,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR4/FMCM0/SI550.WAV,FMCM0,F,19843,20553,1.2401875,1.2845625,0.044375,iy
3,35760,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/FGCS0/SA1.WAV,FGCS0,F,27779,28574,1.7361875,1.785875,0.0496875,iy
4,22811,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR1/MDAC0/SX181.WAV,MDAC0,M,41400,43800,2.5875,2.7375,0.15,ae
5,78361,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR8/MTCS0/SX442.WAV,MTCS0,M,47571,49640,2.9731875,3.1025,0.1293125,ae
6,9321,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR4/FMCM0/SX370.WAV,FMCM0,F,2840,4135,0.1775,0.2584375,0.0809375,ae
7,21321,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR1/FECD0/SI788.WAV,FECD0,F,20710,22475,1.294375,1.4046875,0.1103125,ae
8,13374,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR5/MBPM0/SX317.WAV,MBPM0,M,8319,9524,0.5199375,0.59525,0.0753125,er
9,14618,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR5/MLIH0/SX283.WAV,MLIH0,M,33462,35258,2.091375,2.203625,0.11225,er
10,67168,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/FKSR0/SX161.WAV,FKSR0,F,40360,41800,2.5225,2.6125,0.09,er
11,37005,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/FSJS0/SA1.WAV,FSJS0,F,20973,21880,1.3108125,1.3675,0.0566875,er
12,44110,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MWDK0/SA1.WAV,MWDK0,M,11620,13133,0.72625,0.8208125,0.0945625,aa
13,16174,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR6/MJFC0/SI1033.WAV,MJFC0,M,6100,7506,0.38125,0.469125,0.087875,aa
14,54753,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/FLOD0/SI1287.WAV,FLOD0,F,30090,31248,1.880625,1.953,0.072375,aa
15,21758,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR1/FMEM0/SA1.WAV,FMEM0,F,49634,50920,3.102125,3.1825,0.080375,aa
16,33325,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MRJH0/SI914.WAV,MRJH0,M,26180,27864,1.63625,1.7415,0.10525,uw
17,41779,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MMEB0/SI1357.WAV,MMEB0,M,31039,32040,1.9399375,2.0025,0.0625625,uw
18,7908,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR4/FADG0/SX19.WAV,FADG0,F,4840,6200,0.3025,0.3875,0.085,uw
19,63175,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR6/FSGF0/SI927.WAV,FSGF0,F,62932,64662,3.93325,4.041375,0.108125,uw
20,78366,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR8/MTCS0/SX82.WAV,MTCS0,M,14720,15999,0.92,0.9999375,0.0799375,ih
21,60469,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/MSEM1/SA1.WAV,MSEM1,M,52006,53176,3.250375,3.3235,0.073125,ih
