slno,idx,audio_filepath,person,sex,start_sample,end_sample,start_second,end_second,duration_second,vowel_type
0,23297,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR1/MJEB1/SI837.WAV,MJEB1,M,35600,37320,2.225,2.3325,0.1075,iy
1,13257,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR5/MAHH0/SX304.WAV,MAHH0,M,4479,7240,0.2799375,0.4525,0.1725625,iy
2,74968,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/MTMN0/SI2324.WAV,MTMN0,M,3310,4181,0.206875,0.2613125,0.0544375,iy
3,47517,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR4/MFRM0/SX75.WAV,MFRM0,M,15320,17754,0.9575,1.109625,0.152125,iy
4,40922,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MJLG1/SA2.WAV,MJLG1,M,9645,10485,0.6028125,0.6553125,0.0525,iy
5,33155,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MRHL0/SA2.WAV,MRHL0,M,8880,10160,0.555,0.635,0.08,iy
6,74462,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/MTER0/SI1157.WAV,MTER0,M,34280,36920,2.1425,2.3075,0.165,iy
7,34649,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MTJG0/SA2.WAV,MTJG0,M,18840,20483,1.1775,1.2801875,0.1026875,iy
8,50982,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR4/MPEB0/SX240.WAV,MPEB0,M,10760,11640,0.6725,0.7275,0.055,iy
9,40813,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MJKR0/SI1201.WAV,MJKR0,M,2590,3400,0.161875,0.2125,0.050625,iy
10,42418,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MRDS0/SI1797.WAV,MRDS0,M,27373,28760,1.7108125,1.7975,0.0866875,iy
11,68514,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/MAEO0/SI1326.WAV,MAEO0,M,29354,32375,1.834625,2.0234375,0.1888125,iy
12,5697,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR3/MGLB0/SX364.WAV,MGLB0,M,48080,48960,3.005,3.06,0.055,iy
13,11689,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR4/MTLS0/SA2.WAV,MTLS0,M,21074,22308,1.317125,1.39425,0.077125,iy
14,59462,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/MRAV0/SA1.WAV,MRAV0,M,4220,5517,0.26375,0.3448125,0.0810625,iy
15,14546,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR5/MLIH0/SI1183.WAV,MLIH0,M,60114,61618,3.757125,3.851125,0.094,iy
16,38625,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MDBB1/SI1006.WAV,MDBB1,M,9350,11658,0.584375,0.728625,0.14425,iy
17,33601,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MRJM1/SX218.WAV,MRJM1,M,11400,12520,0.7125,0.7825,0.07,iy
18,48056,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR4/MGXP0/SA2.WAV,MGXP0,M,19160,19960,1.1975,1.2475,0.05,iy
19,34928,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MZMB0/SI1166.WAV,MZMB0,M,44546,45400,2.784125,2.8375,0.053375,iy
20,70104,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/MDLC1/SA1.WAV,MDLC1,M,4260,5556,0.26625,0.34725,0.081,iy
21,34925,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MZMB0/SI1166.WAV,MZMB0,M,36386,37800,2.274125,2.3625,0.088375,iy
