idx,person,vowel_type,pitch_org_praat,f1_mean_org_praat,f2_mean_org_praat,f3_mean_org_praat,f1_median_org_praat,f2_median_org_praat,f3_median_org_praat
78366,MTCS0,ih,134.07077688994275,425.65212500000007,1832.4295,2449.826625,427.9525,1867.646,2487.236
60469,MSEM1,ih,100.71483092971509,453.6487142857142,1842.5094285714288,2362.738428571429,460.555,1847.103,2409.607
12335,FHES0,ih,216.42087136088722,557.575111111111,2286.4308888888886,3192.7654444444443,570.364,2284.426,3189.513
67595,FMKC0,ih,207.3001824612978,533.3796,2171.7852,2536.1022000000003,526.812,2148.243,2538.992
3126,MDLD0,ao,141.243968630811,606.7292,1141.1316,1797.0076000000001,577.68,1136.671,1780.009
34973,MZMB0,ao,112.72637298824087,649.5975714285713,983.0322142857142,2272.7733571428575,657.3805,989.9825000000001,2311.3239999999996
62610,FPAD0,ao,240.72177567707107,743.4535454545454,1155.7489999999998,2637.4651818181815,757.751,1143.653,2667.596
20918,FCJF0,ao,201.26916824747482,618.1306923076924,1188.7356153846156,2754.727153846154,623.102,1144.854,2731.859
39004,MDHS0,axr,139.6694639738741,548.612,1473.679,2084.1721666666667,538.3325,1467.016,2047.098
42173,MPRD0,axr,144.45169060219465,628.3565000000001,1298.879375,1948.6841249999998,603.8340000000001,1304.1444999999999,1686.1660000000002
