idx,person,sex,phone,pitch_praat,f1_org_praat,f2_org_praat,f3_org_praat
0,MEDR0,M,iy,142.78989901230557,413.2916666666667,1915.5456666666669,2486.549666666667
1,MTPF0,M,iy,106.7331045175664,402.3885,1751.1898333333331,2350.222666666667
2,MSJS1,M,iy,114.19294508863392,455.218,1623.2695555555554,2178.050444444444
3,MJPM1,M,iy,127.8058241863399,560.2116923076924,1967.8263846153843,2677.407307692308
4,MPPC0,M,iy,119.74299148370623,537.7755714285714,2176.250571428572,2917.1937142857146
5,MGAF0,M,iy,93.17091568899684,946.8259,2113.9106,2971.6392
6,MDCM0,M,iy,93.97006472198724,522.45225,2153.3675000000003,2763.9465
7,MMGC0,M,iy,106.2354861741146,318.3662222222222,2007.99,2796.1489999999994
8,MMJB1,M,iy,109.21663696376382,482.4623333333333,1847.587,2262.5151666666666
9,MREM0,M,iy,87.69250297394252,432.56057142857145,2016.8487142857143,2832.690571428572
10,MCTT0,M,iy,112.2979210106771,679.9664285714285,2158.7302857142854,2730.1307142857145
11,MJFR0,M,iy,110.6545109375573,389.3448333333334,2001.6788333333336,2736.114333333333
12,MWSH0,M,iy,125.06986346959316,443.465875,1948.303375,2667.569375
13,MMGK0,M,iy,109.54923561355449,410.0418333333334,1923.9161666666664,2412.346666666667
14,MRWS1,M,iy,112.51624648788666,405.8295833333334,1818.2263333333333,2379.382583333333
15,MJRP0,M,iy,158.7734306197257,346.84585714285714,2123.919142857143,2768.182571428571
16,MTJU0,M,iy,146.81789537781066,549.022,2168.5978000000005,2639.861
17,MAFM0,M,iy,150.8837333887181,492.9572222222222,1935.9072222222223,2474.5028888888887
18,MDLD0,M,iy,141.38847487470568,352.23262500000004,1908.495875,2454.574
19,MNJM0,M,iy,121.7270888985476,459.9828333333334,1596.8585,2415.4675
20,MBBR0,M,iy,113.209801651533,377.9394285714287,2123.346571428571,2532.1330000000003
21,MRJT0,M,iy,107.97419060074576,527.3492666666666,2122.477133333333,2640.345533333333
22,MJDE0,M,iy,133.48966020361044,1823.8661052631585,2170.470421052631,2965.166210526316
23,MTJS0,M,iy,130.61533386771845,450.3395,2062.8416666666667,2591.6311666666666
24,MBJV0,M,iy,106.97942494065074,381.44175,1735.323375,2693.319625
25,MDKS0,M,iy,136.21568530612672,490.07900000000006,1647.997625,2428.46675
26,MNJM0,M,iy,117.004570038308,472.75281818181816,1687.4937272727273,2247.913090909091
